address,status,borough,longitude,latitude,spc_common,spc_latin
23-084 BROOKHAVEN AV,Fair,Queens,-73.760311,40.600069,london planetree,platanus acerifolia
116-030 INWOOD ST,Fair,Queens,-73.796126,40.681065,london planetree,platanus acerifolia
32-014 78 ST,Fair,Queens,-73.889413,40.756966,"pear, callery",pyrus calleryana
4420 BRUNER AV,Fair,Bronx,-73.849861,40.899227,"maple, sugar",acer saccharum
202 W FORDHAM RD,Poor,Bronx,-73.909141,40.862634,"pear, callery",pyrus calleryana
125-005 149 AV,Fair,Queens,-73.814972,40.667557,"oak, pin",quercus palustris
144 B 131 ST,Poor,Queens,-73.838229,40.769373,"pear, callery",pyrus calleryana
1153 54 ST,Fair,Brooklyn,-73.998266,40.634181,"pear, callery",pyrus calleryana
62-001 37 AV,Fair,Queens,-73.90057,40.749183,"maple, norway",acer platanoides
58-011 138 ST,Poor,Queens,-73.827341,40.745164,"ash, green",fraxinus pennsylvanica
56-058 217 ST,Poor,Queens,-73.761786,40.750466,"maple, norway",acer platanoides
65-015 38 AV,Fair,Queens,-73.898295,40.746945,"maple, norway",acer platanoides
16 SLOCUM PL,Fair,Brooklyn,-73.968905,40.641755,"maple, norway",acer platanoides
131 PRALL AV,Good,Staten Island,-74.190294,40.528341,"maple, silver",acer saccharinum
153-027 73 AV,Fair,Queens,-73.813781,40.726763,london planetree,platanus acerifolia
209-017 210 ST,Fair,Queens,-73.779292,40.774038,"maple, norway",acer platanoides
648 79 ST,Good,Brooklyn,-74.020111,40.624251,"mulberry, white",morus alba
10520 Avenue K,Fair,Brooklyn,-73.89057,40.64454,"maple, sugar",acer saccharum
174 HAROLD ST,Fair,Staten Island,-74.126639,40.60166,"pear, callery",pyrus calleryana
49 UXBRIDGE ST,Poor,Staten Island,-74.13931,40.602197,"maple, sycamore",acer pseudoplatanus
154-030 WILLETS PT BLVD,Fair,Queens,-73.808263,40.778222,"maple, norway",acer platanoides
1653 49 ST,Fair,Brooklyn,-73.984208,40.630251,"pear, callery",pyrus calleryana
353 B 57 ST,Fair,Queens,-73.873586,40.734353,london planetree,platanus acerifolia
70-041 153 ST,Fair,Queens,-73.815993,40.73074,"maple, norway",acer platanoides
2588 ADAM CLAYTON POWEL,Poor,Manhattan,-73.937037,40.824456,"pear, callery",pyrus calleryana
73-040 260 ST,Fair,Queens,-73.716543,40.75013,"maple, norway",acer platanoides
2009 E 53 PL,Fair,Brooklyn,-73.922792,40.612205,london planetree,platanus acerifolia
44 77 ST,Fair,Brooklyn,-74.035981,40.631826,london planetree,platanus acerifolia
181 BAY 31 ST,Fair,Brooklyn,-73.99685,40.597817,"pine, other",pinus species
115-008 231 ST,Fair,Queens,-73.728002,40.697043,london planetree,platanus acerifolia
202-022 42 AV,Fair,Queens,-73.781985,40.760052,"pear, callery",pyrus calleryana
109-042 142 ST,Fair,Queens,-73.803731,40.687248,"linden, little leaf",tilia cordata
6 W 9 ST,Good,Manhattan,-73.996098,40.73292,ginkgo,ginkgo biloba
140-021 BURDEN CRES,Poor,Queens,-73.815608,40.711127,planting site,planting site
145-074 224 ST,Poor,Queens,-73.756131,40.661181,planting site,planting site
618 74 ST,Fair,Brooklyn,-74.019426,40.628533,london planetree,platanus acerifolia
20-020 43 ST,Good,Queens,-73.900066,40.774473,"pear, callery",pyrus calleryana
486 AMBOY ST,Fair,Brooklyn,-73.911721,40.658227,london planetree,platanus acerifolia
16 MORGAN LA,Fair,Staten Island,-74.162475,40.612599,"oak, pin",quercus palustris
33 BOWERY,Poor,Manhattan,-73.996758,40.715103,london planetree,platanus acerifolia
87-041 259 ST,Fair,Queens,-73.706861,40.730796,"maple, sugar",acer saccharum
733 DAVIS AV,Fair,Staten Island,-74.107333,40.624944,"maple, red",acer rubrum
40 CLARKSON AV,Fair,Brooklyn,-73.958417,40.654919,"maple, norway",acer platanoides
20 1 AV,Fair,Manhattan,-73.98821,40.723609,"elm, american",ulmus americana
45-6909 OCEANIA ST,Fair,Queens,-73.773895,40.758336,london planetree,platanus acerifolia
140-035 LABURNAM AV,Fair,Queens,-73.817452,40.749663,"oak, northern red",quercus rubra
255-022 147 DR,Fair,Queens,-73.733754,40.655781,honeylocust,gleditsia triacanthos
63-011 136 ST,Fair,Queens,-73.830283,40.739821,"oak, pin",quercus palustris
87-057 253 ST,Fair,Queens,-73.712801,40.729211,"maple, norway",acer platanoides
72-004 164 ST,Good,Queens,-73.805218,40.728447,"maple, silver",acer saccharinum
18-065 MANAHAN ST,Fair,Queens,-73.909387,40.705806,honeylocust,gleditsia triacanthos
300 ARLENE ST,Fair,Staten Island,-74.164848,40.6106,"maple, norway",acer platanoides
66 BEDFORD ST,Fair,Manhattan,-74.0048,40.731304,ginkgo,ginkgo biloba
2015 ST PAULS AVE,Fair,Bronx,-73.828741,40.852552,"cherry, cornelian",cornus mas
314 FOREST AV,Good,Staten Island,-74.099513,40.63136,"oak, pin",quercus palustris
10 TOMPKINS PL,Good,Brooklyn,-73.995503,40.685529,london planetree,platanus acerifolia
11 RALEIGH PL,Fair,Brooklyn,-73.947707,40.651421,"maple, norway",acer platanoides
63-089 SAUNDERS ST,Fair,Queens,-73.860788,40.728549,"linden, little leaf",tilia cordata
254 DICKIE AV,Fair,Staten Island,-74.137793,40.617824,"maple, silver",acer saccharinum
88-023 78 AV,Poor,Queens,-73.86046,40.706177,"maple, silver",acer saccharinum
45-019 218 ST,Poor,Queens,-73.763753,40.760748,planting site,planting site
85-011 88 ST,Good,Queens,-73.857072,40.695273,"pear, callery",pyrus calleryana
60-049 70 AV,Fair,Queens,-73.89715,40.702029,"maple, sugar",acer saccharum
410 B 127 ST,Fair,Queens,-73.824443,40.704066,"maple, norway",acer platanoides
725 W 175 ST,Fair,Manhattan,-73.938858,40.846275,black locust,robinia pseudoacacia
187-009 TIOGA DR,Poor,Queens,-73.766261,40.693948,"maple, norway",acer platanoides
23-052 92 ST,Fair,Queens,-73.877939,40.76683,"maple, norway",acer platanoides
2155 BAY RIDGE PKWY,Fair,Brooklyn,-73.988343,40.608775,london planetree,platanus acerifolia
143 N 9 ST,Poor,Brooklyn,-73.957069,40.719272,"maple, norway",acer platanoides
130 HOWARD AV,Fair,Brooklyn,-73.920205,40.683966,london planetree,platanus acerifolia
171 SANDALWOOD DR,Poor,Staten Island,-74.145209,40.560443,"maple, red",acer rubrum
989 E 9 ST,Fair,Brooklyn,-73.967148,40.624826,"maple, norway",acer platanoides
1658 SCHNECTADY AV,Fair,Brooklyn,-73.931204,40.632022,london planetree,platanus acerifolia
