address,status,spc_latin,spc_common,boroname,latitude,longitude
176-35 133 ROAD,Fair,tilia cordata,"linden, little leaf",Queens,40.67637907,-73.76497478
76 MALBONE STREET,Fair,ailanthus altissima,tree of heaven,Brooklyn,40.66447125,-73.94952506
1747 EAST   46 STREET,Fair,acer platanoides,"maple, norway",Brooklyn,40.61791474,-73.93067557
66-60 SAUNDERS STREET,Fair,platanus acerifolia,london planetree,Queens,40.72656813,-73.8553885
122-14 133 AVENUE,Poor,fraxinus pennsylvanica,"ash, green",Queens,40.67182458,-73.81741024
416 WEST   47 STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.76191765,-73.99106934
204 WEST   35 STREET,Fair,ailanthus altissima,tree of heaven,Manhattan,40.75186362,-73.9906448
1388 EAST   17 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.61650062,-73.95783208
907 149 STREET,Fair,koelreuteria paniculata,goldenrain tree,Queens,40.7925666,-73.81743301
1962 DR M L KING JR BOULEVARD,Fair,zelkova serrata,"zelkova, japanese",Bronx,40.85319091,-73.91266743
88-45 208 STREET,Poor,acer saccharinum,"maple, silver",Queens,40.72149872,-73.75752104
273 ELVERTON AVENUE,Good,gleditsia triacanthos,honeylocust,Staten Island,40.55625192,-74.1546503
60-27 LINDEN STREET,Good,acer platanoides,"maple, norway",Queens,40.70917347,-73.90105417
736 CROSS BAY BOULEVARD,Fair,platanus acerifolia,london planetree,Queens,40.60763241,-73.81932532
530 CANAL STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.72507748,-74.01048069
141 VASSAR STREET,Fair,tilia cordata,"linden, little leaf",Staten Island,40.58690786,-74.16124152
606 WEST  137 STREET,Good,prunus species,"cherry, other",Manhattan,40.82154653,-73.95453351
1507 EAST   34 STREET,Fair,acer platanoides,"maple, norway",Brooklyn,40.61828851,-73.94139485
80 PARK AVENUE,Good,tilia cordata,"linden, little leaf",Manhattan,40.75006979,-73.97917874
138-84 63 AVENUE,Fair,quercus palustris,"oak, pin",Queens,40.73967663,-73.82535088
35-21 79 STREET,Good,prunus virginiana           shubert,"chokecherry, shubert",Queens,40.75116669,-73.88739946
114-39 135 STREET,Good,acer saccharinum,"maple, silver",Queens,40.68187238,-73.80681507
250-10 HOOK CREEK BOULEVARD,Good,gleditsia triacanthos,honeylocust,Queens,40.66332077,-73.72939046
230 PACIFIC STREET,Fair,pyrus calleryana,"pear, callery",Brooklyn,40.68873972,-73.99155151
129 WEST   72 STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.77783571,-73.97978026
50 GROVE COURT,Fair,platanus acerifolia,london planetree,Manhattan,40.73193923,-74.00598088
191 ASCAN AVENUE,Fair,robinia pseudoacacia,black locust,Queens,40.71357273,-73.84359592
720 PARK AVENUE,Fair,robinia pseudoacacia,black locust,Manhattan,40.76994918,-73.96468102
131 RIVERSIDE DRIVE,Fair,ulmus americana,"elm, american",Manhattan,40.78947354,-73.98068316
46-10 47 AVENUE,Fair,gleditsia triacanthos,honeylocust,Queens,40.74113096,-73.9189599
149-39 LAKEWOOD AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.69341134,-73.80033031
29-40 210 PLACE,Fair,acer saccharum,"maple, sugar",Queens,40.77410076,-73.77871436
8752 23 AVENUE,Good,pyrus calleryana,"pear, callery",Brooklyn,40.59768167,-73.99462742
1670 JEFFERSON AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.69887948,-73.90628069
88-30 199 STREET,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.71887855,-73.76331698
2234 EAST    3 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.5957506,-73.96838839
1163 EAST  103 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.64220033,-73.89128036
15128 NAGLE AVENUE,Good,quercus palustris,"oak, pin",Manhattan,40.85936393,-73.93083982
121 NEW YORK AVENUE,Fair,quercus palustris,"oak, pin",Brooklyn,40.67606075,-73.94712315
918 40 STREET,Fair,robinia pseudoacacia,black locust,Brooklyn,40.64506777,-73.99517133
491 COLLEGE AVENUE,Fair,zelkova serrata,"zelkova, japanese",Staten Island,40.62159492,-74.13720485
106 TROUTMAN STREET,Fair,prunus cerasifera,"plum, purpleleaf",Brooklyn,40.69937389,-73.92992007
