address,status,spc_latin,spc_common,boroname,latitude,longitude
25 CLAIRE COURT,Fair,acer rubrum,"maple, red",Staten Island,40.61944049,-74.08967788
67-18 215 STREET,Fair,tilia cordata,"linden, little leaf",Queens,40.74336718,-73.76058111
91-16 59 AVENUE,Fair,gleditsia triacanthos,honeylocust,Queens,40.73409167,-73.86929299
43-10 210 STREET,Good,ginkgo biloba,ginkgo,Queens,40.76035015,-73.77336711
104-38 116 STREET,Good,metasequoia glyptostroboides,dawn redwood,Queens,40.68548596,-73.82668629
180 BLEECKER STREET,Fair,tilia americana,"linden, american",Manhattan,40.72900845,-74.00088757
625 SINCLAIR AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.54201987,-74.19610153
35-49 83 STREET,Fair,styphnolobium japonicum,japanese pagoda tree,Queens,40.75151706,-73.88367413
35 MILDEN AVENUE,Fair,taxodium distichum,baldcypress,Staten Island,40.60702831,-74.09992169
61-06 COOPER AVENUE,Fair,tilia cordata,"linden, little leaf",Queens,40.6969443,-73.89352436
72-14 69 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.70163839,-73.88277657
40-27 220 STREET,Fair,liriodendron tulipifera,tulip tree,Queens,40.76508882,-73.76306612
367 WHITMAN DRIVE,Poor,metasequoia glyptostroboides,dawn redwood,Brooklyn,40.60672168,-73.90757692
45-30 36 STREET,Fair,platanus acerifolia,london planetree,Queens,40.74420344,-73.92893823
1a EAST   77 STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.77558406,-73.96444335
85-29 ELIOT AVENUE,Poor,quercus palustris,"oak, pin",Queens,40.72851784,-73.87243206
158-49 88 STREET,Fair,acer platanoides          crimson king,"maple, norway-cr kng",Queens,40.65934302,-73.84474668
234 BRUCKNER AVENUE,Good,tilia americana,"linden, american",Staten Island,40.62569165,-74.15944394
133-12 223 STREET,Fair,acer platanoides,"maple, norway",Queens,40.67840914,-73.74637149
9306 FT HAMILTON PARKWAY,Fair,zelkova serrata,"zelkova, japanese",Brooklyn,40.61618923,-74.02823548
828 FAILE STREET,Fair,ginkgo biloba,ginkgo,Bronx,40.81763311,-73.88729784
70 SEIGEL STREET,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.70434686,-73.9439665
555 EDGECOMBE AVENUE,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.83363245,-73.93875508
171 SUNSET AVENUE,Fair,acer saccharinum,"maple, silver",Staten Island,40.60240467,-74.13604904
107-32 UNION HALL STREET,Good,pyrus calleryana,"pear, callery",Queens,40.69715028,-73.79288291
588 WESTWOOD AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.60566354,-74.13063204
50-64 230 STREET,Fair,acer pseudoplatanus,"maple, sycamore",Queens,40.75729644,-73.75260444
50 BENSON STREET,Poor,pyrus calleryana,"pear, callery",Staten Island,40.56483392,-74.18159909
144-35 182 STREET,Fair,acer palmatum,"maple, japanese",Queens,40.66590314,-73.76274438
67-22 UTOPIA PARKWAY,Fair,platanus acerifolia,london planetree,Queens,40.73445508,-73.79324686
128 HURON STREET,Good,tilia americana,"linden, american",Brooklyn,40.73286482,-73.95641979
1231 LAFAYETTE AVENUE,Good,pyrus calleryana,"pear, callery",Bronx,40.81648594,-73.8902767
14-12 212 STREET,Good,prunus species,"cherry, other",Queens,40.78599949,-73.78173344
8 STUYVESANT STREET,Poor,ginkgo biloba,ginkgo,Manhattan,40.72988079,-73.98936702
2190 WHITE PLAINS ROAD,Fair,gleditsia triacanthos,honeylocust,Bronx,40.8560986,-73.86765064
7224 19 AVENUE,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.61371939,-73.99237501
202 MYRTLE AVENUE,Fair,quercus palustris,"oak, pin",Brooklyn,40.69354178,-73.9808552
15-55 216 STREET,Fair,acer saccharinum,"maple, silver",Queens,40.78630077,-73.77709575
1815 DITMAS AVENUE,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.63847095,-73.96075835
2088 STRAUSS STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.66280331,-73.91481263
88-48 75 AVENUE,Fair,gleditsia triacanthos,honeylocust,Queens,40.70801346,-73.86204378
86 HOYT STREET,Fair,acer platanoides,"maple, norway",Brooklyn,40.68792683,-73.98690734
3237 98 STREET,Good,fraxinus pennsylvanica,"ash, green",Queens,40.75827442,-73.87060636
112 EAST    4 STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.72568669,-73.98824565
964 EASTERN PARKWAY,Fair,fraxinus americana,"ash, white",Brooklyn,40.6690587,-73.93605842
1555 UNIONPORT ROAD,Good,pyrus calleryana,"pear, callery",Bronx,40.83744559,-73.8584253
20 SUTTER AVENUE,Fair,quercus palustris,"oak, pin",Brooklyn,40.66536117,-73.92217713
1286 GATES AVENUE,Fair,ulmus americana,"elm, american",Brooklyn,40.69418624,-73.91744468
2901 AVENUE P,Fair,platanus acerifolia,london planetree,Brooklyn,40.61191135,-73.94492291
1573 TOMLINSON AVENUE,Fair,tilia cordata,"linden, little leaf",Bronx,40.84606608,-73.84925174
136-14 BOOTH MEMORIAL AVENUE,Fair,ginkgo biloba,ginkgo,Queens,40.74725192,-73.82885342
344 RICHARD AVENUE,Fair,quercus palustris,"oak, pin",Staten Island,40.50988399,-74.22430583
292 VERMONT STREET,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.6726371,-73.89408589
132 PERRY STREET,Good,gleditsia triacanthos,honeylocust,Manhattan,40.73491217,-74.00753783
3157 SCHLEY AVENUE,Fair,pyrus calleryana,"pear, callery",Bronx,40.82662307,-73.81562686
410 BEACH   38 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.59642931,-73.77074391
151 EAST   19 STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.73678896,-73.9858946
247 62 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.64171695,-74.0229206
1638 AMSTERDAM AVENUE,Fair,tilia americana,"linden, american",Manhattan,40.82260117,-73.94953949
224 PACIFIC STREET,Good,quercus rubra,"oak, northern red",Brooklyn,40.68880561,-73.99172098
147-17 WELLER LANE,Fair,platanus acerifolia,london planetree,Queens,40.6570216,-73.73415186
141-52 256 STREET,Fair,acer saccharinum,"maple, silver",Queens,40.65974616,-73.72901209
280 BERGEN STREET,Good,robinia pseudoacacia,black locust,Brooklyn,40.68378171,-73.98294563
11 EAST  117 STREET,Fair,tilia cordata,"linden, little leaf",Manhattan,40.8011136,-73.94540567
70-10 PARSONS BOULEVARD,Good,pyrus calleryana,"pear, callery",Queens,40.73202321,-73.81080105
178 DUNHAM STREET,Fair,ginkgo biloba,ginkgo,Staten Island,40.52427765,-74.21728246
590 MADISON AVENUE,Good,ginkgo biloba,ginkgo,Manhattan,40.76214527,-73.97247875
2760 ARLINGTON AVENUE,Good,tilia americana,"linden, american",Bronx,40.88055444,-73.91486994
91 BOERUM STREET,Fair,quercus alba,"oak, white",Brooklyn,40.70567607,-73.94551269
1150 HUGUENOT AVENUE,Poor,fraxinus pennsylvanica,"ash, green",Staten Island,40.52633343,-74.18777501
181 KENSINGTON AVENUE,Good,acer campestre,"maple, hedge",Staten Island,40.59389926,-74.07566557
8857 81 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.70456176,-73.85852718
228 GETZ AVENUE,Good,pyrus calleryana,"pear, callery",Staten Island,40.55389835,-74.16540818
21-69 23 STREET,Fair,robinia pseudoacacia,black locust,Queens,40.78038347,-73.91503051
25728 149 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.65291232,-73.73164909
586A PRESIDENT STREET,Fair,quercus palustris,"oak, pin",Brooklyn,40.67658492,-73.98299434
241-29 145 AVENUE,Fair,tilia cordata,"linden, little leaf",Queens,40.66024865,-73.74100883
2265 RICHMOND AVENUE,Good,pyrus calleryana,"pear, callery",Staten Island,40.59174251,-74.16437853
67-06 THORNTON PLACE,Fair,tilia cordata,"linden, little leaf",Queens,40.72169863,-73.8573544
21-13 35 STREET,Poor,acer platanoides,"maple, norway",Queens,40.77620273,-73.90726226
1424 72 STREET,Good,acer platanoides,"maple, norway",Brooklyn,40.62026045,-74.00273403
1-02 26 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.77700686,-73.93527236
929 SENECA AVENUE,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.70031542,-73.90348726
7225 WOODSIDE AVENUE,Fair,tilia cordata,"linden, little leaf",Queens,40.74291216,-73.89202543
132 RYERSON STREET,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.69404312,-73.96509987
74-03 58 AVENUE,Fair,gleditsia triacanthos,honeylocust,Queens,40.72615333,-73.88698352
94 FERN AVENUE,Fair,acer saccharinum,"maple, silver",Staten Island,40.54899831,-74.15799433
3616 HENRY HUDSON PARKWAY EAST,Good,ginkgo biloba,ginkgo,Bronx,40.88726553,-73.91164618
7902 15 AVENUE,Fair,platanus acerifolia,london planetree,Brooklyn,40.61527581,-74.00550006
326 ELTINGVILLE BOULEVARD,Good,pyrus calleryana,"pear, callery",Staten Island,40.55314233,-74.16623397
174 LANGHAM STREET,Fair,quercus palustris,"oak, pin",Brooklyn,40.57907607,-73.94091807
148 HUNTER AVENUE,Fair,acer saccharinum,"maple, silver",Staten Island,40.58127079,-74.10338239
152-22 119 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.67967073,-73.78941115
166-16 111 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.69294196,-73.785078
2576 EAST    6 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.58735295,-73.96395311
161-04 90 STREET,Fair,acer platanoides,"maple, norway",Queens,40.6551752,-73.8418263
1017 RHINELANDER AVENUE,Fair,taxodium distichum,baldcypress,Bronx,40.85029765,-73.85728103
155-48 81 STREET,Fair,acer platanoides,"maple, norway",Queens,40.66341013,-73.85259858
3210 SPENCER DRIVE,Fair,tsuga canadensis,"hemlock, eastern",Bronx,40.84263558,-73.82073993
35 CHATHAM STREET,Fair,pyrus calleryana,"pear, callery",Staten Island,40.56266778,-74.18190632
68 DRAPER PLACE,Fair,quercus palustris,"oak, pin",Staten Island,40.59359115,-74.16340369
63-21 FITCHETT STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.72423951,-73.86822638
180 RIVERSIDE BOULEVARD,Fair,quercus rubra,"oak, northern red",Manhattan,40.77853132,-73.9884313
726 CAULDWELL AVENUE,Good,pyrus calleryana,"pear, callery",Bronx,40.8181134,-73.90900306
3395 RESERVOIR OVAL WEST,Good,gymnocladus dioicus,kentucky coffeetree,Bronx,40.87914463,-73.87646439
Island 2 ASTORIA BOULEVARD,Good,ailanthus altissima,tree of heaven,Queens,40.7700016,-73.91800195
134-05 20 AVENUE,Fair,tilia cordata,"linden, little leaf",Queens,40.78166275,-73.83444128
44 QUENTIN ROAD,Fair,zelkova serrata,"zelkova, japanese",Brooklyn,40.6052757,-73.98518051
75-26 193 STREET,Fair,ginkgo biloba,ginkgo,Queens,40.73191328,-73.77840704
46 PERSHING STREET,Good,pyrus calleryana,"pear, callery",Staten Island,40.59541938,-74.07216371
13-06 COLLEGE POINT BOULEVARD,Fair,tilia cordata,"linden, little leaf",Queens,40.78670401,-73.84572082
81-31 164 PLACE,Poor,quercus rubra,"oak, northern red",Queens,40.71969671,-73.8027588
2175A MULINER AVENUE,Good,acer rubrum,"maple, red",Bronx,40.85591078,-73.86195753
15 SPARTAN AVENUE,Fair,platanus acerifolia,london planetree,Staten Island,40.62547871,-74.16253792
214 FREEMAN STREET,Fair,tilia tomentosa,"linden, silver",Brooklyn,40.73462562,-73.95303403
109 LORING AVENUE,Fair,platanus acerifolia,london planetree,Staten Island,40.5533081,-74.18007797
3182 ROCHAMBEAU AVENUE,Good,zelkova serrata,"zelkova, japanese",Bronx,40.87571804,-73.8805315
218 EAST   10 STREET,Fair,pyrus calleryana,"pear, callery",Manhattan,40.72927105,-73.98563641
48-18 65 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.73786703,-73.90087805
334 EAST   79 STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.77293723,-73.95412623
50 BELAIR ROAD,Good,zelkova serrata,"zelkova, japanese",Staten Island,40.61084618,-74.06586672
71-44 66 STREET,Fair,acer platanoides,"maple, norway",Queens,40.70203947,-73.88865457
40 NEWVALE AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.56810019,-74.14924273
20-16 169 STREET,Fair,platanus acerifolia,london planetree,Queens,40.77914522,-73.7948232
155 EAST    2 STREET,Fair,morus,mulberry,Brooklyn,40.64790959,-73.97919981
2842 KINGSLAND AVENUE,Poor,acer platanoides,"maple, norway",Bronx,40.86747811,-73.83951355
37-20 20 AVENUE,Fair,quercus palustris,"oak, pin",Queens,40.77709091,-73.90258165
358 THORNYCROFT AVENUE,Good,platanus acerifolia,london planetree,Staten Island,40.54092531,-74.15835662
1628 WEST    9 STREET,Good,platanus acerifolia,london planetree,Brooklyn,40.60701276,-73.98241782
688 EAST   46 STREET,Fair,acer platanoides,"maple, norway",Brooklyn,40.64463695,-73.93353778
32-32 42 STREET,Poor,acer platanoides,"maple, norway",Queens,40.75783738,-73.91773397
197-10 56 AVENUE,Good,prunus species,"cherry, other",Queens,40.74644177,-73.78008381
300 RICHMOND TERRACE,Good,prunus virginiana           shubert,"chokecherry, shubert",Staten Island,40.6477635,-74.08299878
162-40 84 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.65243454,-73.84690346
464 BEACH  139 STREET,Good,platanus acerifolia,london planetree,Queens,40.57665424,-73.85823293
45 KENSICO STREET,Fair,acer rubrum,"maple, red",Staten Island,40.5716136,-74.13822883
49-12 217 STREET,Good,ginkgo biloba,ginkgo,Queens,40.75521364,-73.76328172
9110 AVENUE M,Fair,acer saccharinum,"maple, silver",Brooklyn,40.63438621,-73.89756936
247 BAY   11 STREET,Poor,acer platanoides,"maple, norway",Brooklyn,40.60531154,-74.0134654
1940 WEBSTER AVENUE,Fair,acer campestre,"maple, hedge",Bronx,40.84876743,-73.90033688
533 EAST   79 STREET,Fair,acer platanoides,"maple, norway",Brooklyn,40.63920375,-73.91874138
3-5 CENTRAL PARK NORTH,Good,ginkgo biloba,ginkgo,Manhattan,40.79725663,-73.95007157
2354 WEST   13 STREET,Good,platanus acerifolia,london planetree,Brooklyn,40.59013509,-73.98300555
1475 ARDEN AVENUE,Fair,acer rubrum,"maple, red",Staten Island,40.53540326,-74.16576533
70-20 47 AVENUE,Good,platanus acerifolia,london planetree,Queens,40.7390135,-73.8937819
135-19 82 AVENUE,Poor,picea species,"spruce, other",Queens,40.7145607,-73.82266797
20-35 21 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.78260121,-73.91503129
1040 WARD AVENUE,Fair,acer saccharinum,"maple, silver",Bronx,40.82504369,-73.87642391
249-02 WELLER AVENUE,Fair,gleditsia triacanthos,honeylocust,Queens,40.66058903,-73.73618851
2521 WOODHULL AVENUE,Fair,ginkgo biloba,ginkgo,Bronx,40.86341357,-73.84175763
4687 PARK AVENUE,Poor,gleditsia triacanthos,honeylocust,Bronx,40.85896802,-73.89258533
78-57 78 STREET,Fair,ulmus americana,"elm, american",Queens,40.70365808,-73.87203602
66-62 71 STREET,Poor,aesculus hippocastanum,horsechestnut,Queens,40.71314597,-73.88428578
259-70 148 ROAD,Fair,acer platanoides,"maple, norway",Queens,40.65427337,-73.72914965
237 WEST   48 STREET,Fair,pyrus calleryana,"pear, callery",Manhattan,40.7604816,-73.98568021
1585 MACOMBS ROAD,Poor,acer platanoides          crimson king,"maple, norway-cr kng",Bronx,40.84552273,-73.91710507
63-60 ELLWELL CRESCENT,Fair,acer platanoides,"maple, norway",Queens,40.72283584,-73.86491369
134 RUTLEDGE STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.70184115,-73.95737416
61 BIRCHARD AVENUE,Fair,acer platanoides,"maple, norway",Staten Island,40.60249088,-74.1350949
148-11 WILLETS POINT BOULEVARD,Fair,tilia tomentosa,"linden, silver",Queens,40.77643645,-73.81786357
480 EAST  183 STREET,Fair,tilia cordata,"linden, little leaf",Bronx,40.85519723,-73.8930469
115-59 144 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.68178395,-73.79846143
15 WENDOVER ROAD,Fair,quercus rubra,"oak, northern red",Queens,40.71236999,-73.83922691
185-30 DUNLOP AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.70354744,-73.77068571
238 GARFIELD PLACE,Fair,quercus palustris,"oak, pin",Brooklyn,40.67175011,-73.97590468
6301 74 STREET,Good,platanus acerifolia,london planetree,Queens,40.71822206,-73.88257786
146-54 229 STREET,Fair,acer platanoides,"maple, norway",Queens,40.65904952,-73.75238491
6268 ELLWELL CRESCENT,Good,pinus species,"pine, other",Queens,40.72434815,-73.86486372
290 SHORE ROAD,Fair,pyrus calleryana,"pear, callery",Staten Island,40.5059162,-74.25026281
89-17 221 PLACE,Fair,robinia pseudoacacia,black locust,Queens,40.72919341,-73.74040172
1663 STEPHEN STREET,Fair,acer platanoides,"maple, norway",Queens,40.69656287,-73.90294815
27-05 27 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.76960508,-73.92313477
954 EAST  211 STREET,Fair,tilia americana,"linden, american",Bronx,40.87584439,-73.8587413
665 PELHAM PARKWAY NORTH,Fair,platanus acerifolia,london planetree,Bronx,40.85776068,-73.86899211
172 12 STREET,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.66919968,-73.99160085
107-28 108 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.68130623,-73.83262451
126-11 127 STREET,Good,prunus species,"cherry, other",Queens,40.67305548,-73.81137209
3720 NOSTRAND AVENUE,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.59305237,-73.94047362
160-15 POWELLS COVE BOULEVARD,Fair,tilia americana,"linden, american",Queens,40.79425465,-73.80087658
104-48 47 AVENUE,Good,pyrus calleryana,"pear, callery",Queens,40.74585737,-73.85908549
1010 REV JAMES POLITE AVENUE,Good,ulmus parvifolia,"elm, chinese",Bronx,40.82353126,-73.89887161
60 EAST  128 STREET,Good,pyrus calleryana,"pear, callery",Manhattan,40.80740388,-73.93867807
3362 BOSTON ROAD,Fair,ginkgo biloba,ginkgo,Bronx,40.87479527,-73.85166714
156-29 80 STREET,Fair,quercus palustris,"oak, pin",Queens,40.66201114,-73.85325767
61-11 155 STREET,Good,acer platanoides,"maple, norway",Queens,40.73835385,-73.81323328
141 DRIGGS STREET,Good,acer rubrum,"maple, red",Staten Island,40.54044406,-74.15087915
9718 AVENUE N,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.63562933,-73.89130548
1599 OCEAN PARKWAY,Fair,ulmus americana,"elm, american",Brooklyn,40.60979005,-73.96772985
2677 COLBY COURT,Good,platanus acerifolia,london planetree,Brooklyn,40.5840974,-73.97320376
110-23 179 STREET,Poor,acer platanoides,"maple, norway",Queens,40.69874012,-73.7756394
8003 259 STREET,Fair,platanus acerifolia,london planetree,Queens,40.74438654,-73.71190461
154-43 24 AVENUE,Good,pyrus calleryana,"pear, callery",Queens,40.77673755,-73.80888314
842 EAST   55 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.63675347,-73.92394715
90-11 52 AVENUE,Good,fraxinus pennsylvanica,"ash, green",Queens,40.73889962,-73.87344063
1916 GREENE AVENUE,Good,fraxinus pennsylvanica,"ash, green",Queens,40.70775334,-73.90976327
111-31 200 STREET,Good,fraxinus pennsylvanica,"ash, green",Queens,40.70354528,-73.75627712
640 EDGEGROVE AVENUE,Fair,acer platanoides          crimson king,"maple, norway-cr kng",Staten Island,40.53767256,-74.19257382
40 VAIL AVENUE,Fair,prunus cerasifera,"plum, purpleleaf",Staten Island,40.51663676,-74.21102118
128-05 150 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.66523778,-73.81271348
3351 BAYCHESTER AVENUE,Good,platanus acerifolia,london planetree,Bronx,40.87867887,-73.83729874
2067 COLEMAN STREET,Fair,acer pseudoplatanus,"maple, sycamore",Brooklyn,40.6110667,-73.92660562
210-26 HILLSIDE AVENUE,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.7232309,-73.7563314
2336 KNAPP STREET,Good,acer platanoides,"maple, norway",Brooklyn,40.59587281,-73.93325505
4720 AVENUE I,Good,tilia tomentosa,"linden, silver",Brooklyn,40.6303377,-73.93073833
551 WEST  170 STREET,Fair,tilia americana,"linden, american",Manhattan,40.84182765,-73.93782232
17 PROSPECT PARK WEST,Fair,quercus palustris,"oak, pin",Brooklyn,40.67134556,-73.97126532
44 WOODHAVEN BOULEVARD,Fair,quercus palustris,"oak, pin",Queens,40.73279539,-73.87082879
184-08 MIDLAND PARKWAY,Good,quercus palustris,"oak, pin",Queens,40.72316056,-73.7829025
1012 HUNTINGTON AVENUE,Fair,platanus acerifolia,london planetree,Bronx,40.82901073,-73.83162061
742 OCEAN PARKWAY,Good,gleditsia triacanthos,honeylocust,Brooklyn,40.6303304,-73.97176574
2001 RESERVOIR AVENUE,Fair,quercus palustris,"oak, pin",Bronx,40.87616308,-73.90005962
113-30 198 STREET,Poor,quercus palustris,"oak, pin",Queens,40.70036805,-73.75685135
111 EDGEGROVE AVENUE,Good,pyrus calleryana,"pear, callery",Staten Island,40.54532471,-74.17926487
308 EDGEGROVE AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.54134761,-74.18265781
2302 THROOP AVENUE,Fair,acer platanoides,"maple, norway",Bronx,40.86000345,-73.85117232
8507 COMMONWEALTH BOULEVARD,Poor,pyrus calleryana,"pear, callery",Queens,40.73278505,-73.72108002
4133 KINGS HIGHWAY,Good,fraxinus pennsylvanica,"ash, green",Brooklyn,40.62508891,-73.93412643
86-16 256 STREET,Good,robinia pseudoacacia,black locust,Queens,40.73230021,-73.71036203
90 MALLOW STREET,Fair,fraxinus pennsylvanica,"ash, green",Staten Island,40.54722312,-74.20907398
136 ASCAN AVENUE,Fair,prunus serrulata            kwanzan,"cherry, kwanzan",Queens,40.71379758,-73.84343307
44-01 74 STREET,Poor,acer pseudoplatanus,"maple, sycamore",Queens,40.74140661,-73.89051582
414 ROBINSON AVENUE,Fair,acer saccharinum,"maple, silver",Staten Island,40.54349836,-74.15751718
1220 ALBEMARLE ROAD,Good,acer platanoides,"maple, norway",Brooklyn,40.6464686,-73.96745626
288 EAST   95 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.6595526,-73.92126842
9130 97 STREET,Fair,platanus acerifolia,london planetree,Queens,40.69014176,-73.84647793
84-15 MIDLAND PARKWAY,Good,quercus palustris,"oak, pin",Queens,40.71875098,-73.78504167
155 KINGHORN STREET,Fair,acer platanoides,"maple, norway",Staten Island,40.53099359,-74.16297006
625 ATLANTIC AVENUE,Fair,zelkova serrata,"zelkova, japanese",Brooklyn,40.68346476,-73.97568412
38-20 BOWNE STREET,Good,gleditsia triacanthos,honeylocust,Queens,40.76194681,-73.82486291
1818 NEWKIRK AVENUE,Poor,picea species,"spruce, other",Brooklyn,40.6369118,-73.96042778
87-04 FOCH BOULEVARD,Fair,platanus acerifolia,london planetree,Queens,40.69077285,-73.76396457
55-55 58 STREET,Fair,tilia cordata,"linden, little leaf",Queens,40.72674069,-73.9121296
305 WEST   28 STREET,Fair,platanus acerifolia,london planetree,Manhattan,40.74854554,-73.99641979
462 13 STREET,Fair,ginkgo biloba,ginkgo,Brooklyn,40.66301161,-73.98055398
82-52 164 PLACE,Fair,quercus palustris,"oak, pin",Queens,40.71780745,-73.80225574
555 REMSEN AVENUE,Good,platanus acerifolia,london planetree,Brooklyn,40.65300555,-73.92019137
148-01 25 DRIVE,Fair,acer platanoides,"maple, norway",Queens,40.77527103,-73.81855998
115-01 CURZON ROAD,Good,tilia americana,"linden, american",Queens,40.70496171,-73.83716369
301 WILSON AVENUE,Good,acer saccharinum,"maple, silver",Staten Island,40.54707478,-74.16152322
80-55 267 STREET,Good,tilia tomentosa,"linden, silver",Queens,40.74529513,-73.70435081
250 BLAKE AVENUE,Fair,ginkgo biloba,ginkgo,Brooklyn,40.66553638,-73.91024573
2254 EAST   23 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.59629758,-73.94788488
351 EASTERN PARKWAY,Fair,fraxinus pennsylvanica,"ash, green",Brooklyn,40.67046826,-73.95697245
763 MAC DONOUGH STREET,Fair,pyrus calleryana,"pear, callery",Brooklyn,40.68422429,-73.91583449
79-22 263 STREET,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.74675588,-73.70887002
2155 EAST   19 STREET,Fair,acer platanoides          crimson king,"maple, norway-cr kng",Brooklyn,40.59811384,-73.95238105
153-45 60 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.74020269,-73.81593818
130 RUTLEDGE STREET,Fair,quercus rubra,"oak, northern red",Brooklyn,40.70177805,-73.95746798
1124 BEACH AVENUE,Good,tilia cordata,"linden, little leaf",Bronx,40.82848715,-73.86556641
1218 HALSEY STREET,Fair,quercus palustris,"oak, pin",Brooklyn,40.69193474,-73.90911396
3231 HONE AVENUE,Fair,gleditsia triacanthos,honeylocust,Bronx,40.87191799,-73.85753835
7901 15 AVENUE,Fair,acer rubrum,"maple, red",Brooklyn,40.61527581,-74.00547485
1005 46 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.64052795,-73.99668142
423 EAST   83 STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.77464279,-73.95010296
242 LOCUST AVENUE,Fair,platanus acerifolia,london planetree,Staten Island,40.57419089,-74.11040877
69 MINETTA STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.72987976,-74.00137157
77 WEST  161 STREET,Fair,gleditsia triacanthos,honeylocust,Bronx,40.83058095,-73.93073441
35 HOLCOMB AVENUE,Fair,fraxinus pennsylvanica,"ash, green",Staten Island,40.5471679,-74.19032352
727 LORIMER STREET,Good,quercus bicolor,"oak, swamp white",Brooklyn,40.71867736,-73.95013765
442 HIMROD STREET,Fair,fraxinus pennsylvanica,"ash, green",Brooklyn,40.70494944,-73.91500403
1858 WILLOUGHBY AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.71001221,-73.91695978
141-38 33 AVENUE,Fair,malus species,crabapple,Queens,40.76806585,-73.82552192
77-41 79 STREET,Fair,platanus acerifolia,london planetree,Queens,40.70565063,-73.87190235
621 EAST  216 STREET,Fair,quercus rubra,"oak, northern red",Bronx,40.88222729,-73.86692237
677 PRESIDENT STREET,Good,pyrus calleryana,"pear, callery",Brooklyn,40.67548106,-73.98010691
115-42 MEXICO STREET,Fair,platanus acerifolia,london planetree,Queens,40.69477962,-73.76340613
663 ONDERDONK AVENUE,Fair,styphnolobium japonicum,japanese pagoda tree,Queens,40.70436753,-73.90784549
2126 PROSPECT AVENUE,Poor,acer platanoides,"maple, norway",Bronx,40.8481446,-73.88577866
91-21 218 STREET,Fair,quercus palustris,"oak, pin",Queens,40.72406744,-73.74218589
149-17 20 AVENUE,Fair,acer saccharinum,"maple, silver",Queens,40.78145672,-73.81621773
435 WEST BROADWAY,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.72544301,-74.00116533
101-32 108 STREET,Fair,acer platanoides,"maple, norway",Queens,40.68698049,-73.83508742
188 NORTH RAILROAD STREET,Fair,pyrus calleryana,"pear, callery",Staten Island,40.53899669,-74.1852166
196-44 46 ROAD,Fair,ailanthus altissima,tree of heaven,Queens,40.75397016,-73.78441462
89-09 158 AVENUE,Poor,platanus acerifolia,london planetree,Queens,40.66035181,-73.8438
86-04 91 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.68801917,-73.85642403
386 STUYVESANT AVENUE,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.68136929,-73.93175254
93-12 242 STREET,Fair,acer platanoides,"maple, norway",Queens,40.72465569,-73.72592324
