status,spc_latin,spc_common,address,borough,latitude,longitude
Good,platanus x acerifolia,london planetree,170-040 130 AVENUE,Queens,40.67727378,-73.77183135
Good,quercus bicolor,swamp white oak,193 LENOX ROAD,Brooklyn,40.65417277,-73.95293123
Good,pyrus calleryana,callery pear,63 DANIEL LOW TERRACE,Staten Island,40.64320373,-74.08125426
Good,zelkova serrata,japanese zelkova,42-053 149 PLACE,Queens,40.75914259,-73.81322335
Good,fraxinus pennsylvanica,green ash,132 WARREN STREET,Brooklyn,40.68838052,-73.99886489
Poor,platanus x acerifolia,london planetree,140-004 123 AVENUE,Queens,40.67485252,-73.80135936
Fair,maackia amurensis,amur maackia,955 EAST 98 STREET,Brooklyn,40.64755067,-73.90338163
Good,zelkova serrata,japanese zelkova,47-049 157 STREET,Queens,40.75036883,-73.80991287
Good,quercus palustris,pin oak,182-012 HORACE HARDING EXPRESSWAY SR S,Queens,40.73924114,-73.79134226
Good,gleditsia triacanthos var. inermis,honeylocust,19-002 41 STREET,Queens,40.77746856,-73.89893049
Good,styphnolobium japonicum,sophora,1825 PITMAN AVENUE,Bronx,40.89602656,-73.84839691
Good,gleditsia triacanthos var. inermis,honeylocust,1969 MADISON AVENUE,Manhattan,40.80624662,-73.93992902
Good,tilia tomentosa,silver linden,6-003 PARSONS BOULEVARD,Queens,40.79328215,-73.82512941
Good,acer platanoides 'crimson king',crimson king maple,2316 WATERBURY AVENUE,Bronx,40.83466677,-73.84785754
Fair,platanus x acerifolia,london planetree,63-070 77 PLACE,Queens,40.71836862,-73.87729562
Good,platanus x acerifolia,london planetree,5624 17 AVENUE,Brooklyn,40.62521729,-73.98766603
Fair,ulmus americana,american elm,240-052 42 AVENUE,Queens,40.76876809,-73.74479539
Fair,acer saccharum,sugar maple,555 BELMONT AVENUE,Brooklyn,40.67164641,-73.8889222
Good,acer platanoides,norway maple,69-009 HULL AVENUE,Queens,40.72785139,-73.8950055
Fair,fagus grandifolia,american beech,129 DWIGHT STREET,Brooklyn,40.67504977,-74.01011356
Fair,acer saccharinum,silver maple,31-083 140 STREET,Queens,40.769253,-73.82856427
Good,acer rubrum,red maple,431 WOODVALE AVENUE,Staten Island,40.51373484,-74.2057729
Good,styphnolobium japonicum,sophora,4518 15 AVENUE,Brooklyn,40.63426313,-73.98583752
Good,prunus,cherry,96 GRAND AVENUE,Staten Island,40.6158688,-74.09921999
Good,gleditsia triacanthos var. inermis,honeylocust,21 BEEKMAN CIRCLE,Staten Island,40.55420736,-74.19530576
Good,pyrus calleryana,callery pear,144-046 166 STREET,Queens,40.66507565,-73.77707213
Fair,acer rubrum,red maple,138-039 64 AVENUE,Queens,40.73907168,-73.82683371
Poor,acer platanoides,norway maple,82-001 30 AVENUE,Queens,40.76129711,-73.88618051
Fair,morus,mulberry,1126 EAST 8 STREET,Brooklyn,40.62163215,-73.96755264
Good,tilia americana,american linden,5024 7 AVENUE,Brooklyn,40.64207491,-74.00639683
Good,gleditsia triacanthos var. inermis,honeylocust,108-008 86 STREET,Queens,40.676855,-73.85116374
Poor,acer saccharinum,silver maple,5 KELVIN AVENUE,Staten Island,40.55628463,-74.13651455
Good,zelkova serrata,japanese zelkova,215 SOUTH END AVENUE,Manhattan,40.70965652,-74.01668171
Good,platanus x acerifolia,london planetree,62-082 DRY HARBOR ROAD,Queens,40.72300102,-73.874443
Good,quercus rubra,northern red oak,1528 CASTLE HILL AVENUE,Bronx,40.83744491,-73.85229516
Fair,quercus rubra,northern red oak,4226 3 AVENUE,Bronx,40.84754838,-73.89584544
Good,cornus florida,flowering dogwood,125 FABIAN STREET,Staten Island,40.53926257,-74.17390414
Fair,platanus x acerifolia,london planetree,1236 EAST 48 STREET,Brooklyn,40.63101785,-73.93019044
Fair,acer platanoides,norway maple,1600 WEST 5 STREET,Brooklyn,40.60835021,-73.97879616
Good,pyrus calleryana,callery pear,5206 11 AVENUE,Brooklyn,40.63585079,-73.99852503
Good,zelkova serrata,japanese zelkova,75-028 162 STREET,Queens,40.72616067,-73.80691027
Good,tilia americana,american linden,96 GREELEY AVENUE,Staten Island,40.57853003,-74.11070698
Good,prunus,cherry,213-005 29 AVENUE,Queens,40.77520936,-73.775746
Good,quercus palustris,pin oak,143-021 32 AVENUE,Queens,40.76930436,-73.82464291
Fair,quercus palustris,pin oak,82-002 GRENFELL STREET,Queens,40.71033735,-73.83281231
Good,fraxinus pennsylvanica,green ash,315 SOUTH RAILROAD STREET,Staten Island,40.53701383,-74.18696658
Fair,platanus x acerifolia,london planetree,75-066 197 STREET,Queens,40.73166238,-73.77333974
Fair,quercus bicolor,swamp white oak,233 CASWELL AVENUE,Staten Island,40.61398867,-74.14424172
Good,metasequoia glyptostroboides,dawn redwood,166-005 FOCH BOULEVARD,Queens,40.68526235,-73.78022297
Good,gleditsia triacanthos var. inermis,honeylocust,127 BAY 49 STREET,Brooklyn,40.58708595,-73.98640657
Fair,pyrus calleryana,callery pear,18 BURTON AVENUE,Staten Island,40.51919812,-74.20650785
Good,pyrus calleryana,callery pear,23 SOUTH RAILROAD AVENUE,Staten Island,40.59452322,-74.08791052
Good,platanus x acerifolia,london planetree,4813 9 AVENUE,Brooklyn,40.64053201,-74.00083328
Good,gleditsia triacanthos var. inermis,honeylocust,1232 RANDALL AVENUE,Bronx,40.81181754,-73.88903411
Good,gleditsia triacanthos var. inermis,honeylocust,327 PARK PLACE,Brooklyn,40.67637466,-73.96700643
